0	Infinity
0	1	0	0	0.0
0	2	1	1	0.0
1	3	0	0	0.0
1	4	1	1	0.0
2	5	0	0	0.0
2	6	1	1	0.0
3	1	0	0	0.0
3	7	1	1	0.0
4	8	0	0	0.0
4	9	1	1	0.0
5	10	0	0	0.0
5	11	1	1	0.0
6	12	0	0	0.0
6	2	1	1	0.0
7	13	0	0	0.0
7	14	1	1	0.0
8	15	0	0	0.0
8	16	1	1	0.0
9	17	0	0	0.0
9	4	1	1	0.0
10	5	0	0	0.0
10	18	1	1	0.0
11	19	0	0	0.0
11	20	1	1	0.0
12	14	0	0	0.0
12	21	1	1	0.0
13	22	0	0	0.0
13	16	1	1	0.0
14	12	0	0	0.0
14	7	1	1	0.0
15	8	0	0	0.0
15	15	1	1	0.0
16	16	0	0	0.0
16	16	1	1	0.0
17	9	0	0	0.0
17	21	1	1	0.0
18	13	0	0	0.0
18	10	1	1	0.0
19	23	0	0	0.0
19	16	1	1	0.0
20	20	0	0	0.0
20	11	1	1	0.0
21	24	0	0	0.0
21	25	1	1	0.0
22	13	0	0	0.0
22	22	1	1	0.0
23	19	0	0	0.0
23	23	1	1	0.0
24	26	0	0	0.0
24	16	1	1	0.0
25	25	0	0	0.0
25	21	1	1	0.0
26	24	0	0	0.0
26	26	1	1	0.0
